Weibull alpha,Covariate,Pearson r,CI,CI_low,CI_high,t,df_error,p,No. Observations
Raw alpha,Initial_Mass_g,-0.09771597702470225,0.95,-0.25828575841919216,0.06810759053230465,-1.1617507734407093,140,0.2473135099213303,142
Raw alpha,Temperature_C,-0.23378194801585425,0.95,-0.3896813889033102,-0.06485719862100071,-2.7309291467459,129,0.007199792452701057,131
Raw alpha,Velocity_m.s,0.16506135433829264,0.95,-0.13861145952601603,0.4403624348443592,1.0845969266638797,42,0.2842869545541405,44
Raw alpha,Water_NO3_ug.L,0.13969153312738872,0.95,-0.04882705572355387,0.31859969056452403,1.466091926091229,108,0.14552883208527426,110
Raw alpha,Water_SRP_ug.L,-0.13017988776720346,0.95,-0.31149096442042057,0.06027690401562466,-1.3517871554527208,106,0.17932092466915123,108
Raw alpha,initial_CN,-0.024490517992349845,0.95,-0.2442781273067321,0.19769039874435926,-0.21496790019288609,77,0.8303606838098452,79
Raw alpha,initial_CP,-0.18715332736632634,0.95,-0.4711921677042052,0.13205481903471394,-1.1744421458528282,38,0.2475256027066095,40
Raw alpha,initial_N,0.041835456187837294,0.95,-0.14400729249602445,0.22482775305803143,0.4411501016969686,111,0.6599624200776306,113
Raw alpha,initial_NP,-0.03566947563871605,0.95,-0.27007016263115624,0.20272265896054528,-0.2921531553531121,67,0.7710722876317979,69
Raw alpha,initial_P,-0.07223130429429692,0.95,-0.30371968088471407,0.16730967486461124,-0.5927871214212792,67,0.5553192214937845,69
Raw alpha,initial_lignin,0.2864938307328942,0.95,-0.11344786480599447,0.6065360715305689,1.4649343922734495,24,0.15591700671755393,26
Raw alpha,series_length,0.06652807740285908,0.95,-0.09811558070286143,0.22762687842289606,0.7945337847155357,142,0.4282106465160025,144
Raw alpha,terminal_mass_prop,-0.21115093676436708,0.95,-0.362216201237773,-0.04927699948833245,-2.574192928356419,142,0.01107136525711317,144
alpha Deviation from 1,Initial_Mass_g,-0.012019520000659567,0.95,-0.17639753761076818,0.15301070708262832,-0.14222715262538607,140,0.8871050612384652,142
alpha Deviation from 1,Temperature_C,-0.1330168252091989,0.95,-0.297748946516529,0.03940778890701607,-1.5243262162684434,129,0.12987510240064615,131
alpha Deviation from 1,Velocity_m.s,-0.21222031490277074,0.95,-0.4789263855397946,0.0903526373191104,-1.4074028699479608,42,0.16666601572883402,44
alpha Deviation from 1,Water_NO3_ug.L,0.21453643059817318,0.95,0.028437293923695497,0.3862617186972341,2.282677888042829,108,0.024407911539067125,110
alpha Deviation from 1,Water_SRP_ug.L,0.01523395571303336,0.95,-0.17424159797496439,0.20362170869796517,0.1568613763387119,106,0.8756524849278999,108
alpha Deviation from 1,initial_CN,0.07528646039690198,0.95,-0.14829251042307037,0.2915436460728701,0.6625162649974027,77,0.5096186449329074,79
alpha Deviation from 1,initial_CP,0.13357728975395047,0.95,-0.18565736902073032,0.42730618294143136,0.8308716559651641,38,0.4112364185462313,40
alpha Deviation from 1,initial_N,0.008667277247062009,0.95,-0.17634489277026516,0.19308794664757897,0.09131886213329239,111,0.9274038254742534,113
alpha Deviation from 1,initial_NP,0.06916078073499904,0.95,-0.17030768331884077,0.30091577778697876,0.567464166229404,67,0.5722954541696068,69
alpha Deviation from 1,initial_P,-0.1372245388931068,0.95,-0.3621433950917228,0.10279476440019182,-1.133958545227115,67,0.260853013904714,69
alpha Deviation from 1,initial_lignin,-0.30659303883186756,0.95,-0.6202807974127762,0.09164228340071706,-1.5779878036763082,24,0.12765951955668742,26
alpha Deviation from 1,series_length,-0.14107874767425688,0.95,-0.2977827160052749,0.023028611500623655,-1.6981313717841908,142,0.09167322111970054,144
alpha Deviation from 1,terminal_mass_prop,0.09040541377971512,0.95,-0.07426881038298064,0.2502801593340451,1.081734491353862,142,0.28120412675793743,144
